# Integration point output from Abaqus ODB
# ODB:   G:\01_Forschung\01_Creep\00_UMAT\UMAT_CLAUDE\Schachter_3D\G1_schachter_seed10.odb
# Step:  Load
# Frame: -1
# Time:  4.800000000000e+03
#
# Columns:
# instance  elementLabel  integrationPoint  x  y  z  SDV3  SDV4
#
G1-1 1824 3 -1.350675810682e+00 -1.067302448854e+00 9.177263536883e+01 8.524491310120e+00 -2.952944278717e+00
G1-1 1824 4 -4.814812496397e+00 4.173283113062e-01 8.783639690653e+01 8.593410491943e+00 -2.813769340515e+00
G1-1 1825 1 -1.745440686445e+01 -1.751263800904e+01 5.530672768764e+01 6.635121345520e+00 -2.196121692657e+00
G1-1 1825 2 -1.326177940664e+01 -1.751263800904e+01 5.092489460911e+01 4.244674205780e+00 -1.314132928848e+00
G1-1 1825 3 -1.745440686445e+01 -1.751263800904e+01 5.092489460911e+01 6.635007858276e+00 -2.201091289520e+00
G1-1 1825 4 -1.745440686445e+01 -1.350844999418e+01 5.280328152554e+01 6.528233051300e+00 -2.149201393127e+00
G1-1 1826 1 1.075378047856e+01 -2.278892936996e+00 6.637239584569e+01 8.509175300598e+00 -2.787814855576e+00
G1-1 1826 2 1.549902237100e+01 2.227727339271e+00 6.462814954587e+01 5.827224254608e+00 -1.886905550957e+00
G1-1 1826 3 1.307798112954e+01 7.456380872409e-02 6.304966428499e+01 7.562691688538e+00 -2.493094921112e+00
G1-1 1826 4 1.214492040475e+01 2.227727339271e+00 6.462814954587e+01 2.354655027390e+00 1.617061644793e-01
G1-1 1827 1 1.326177940664e+01 -1.751245788232e+01 5.666626572111e+01 3.648288726807e+00 -1.054105997086e+00
G1-1 1827 2 1.745440686445e+01 -1.350768746449e+01 5.418054397482e+01 6.436456203461e+00 -2.120437383652e+00
G1-1 1827 3 1.745440686445e+01 -1.751245788232e+01 5.666626572111e+01 6.888274669647e+00 -2.289848804474e+00
G1-1 1827 4 1.745440686445e+01 -1.751245788232e+01 5.228443358563e+01 6.868442058563e+00 -2.284620523453e+00
G1-1 1828 1 6.126700674472e+00 1.243694596898e+01 5.895028559540e+01 8.737534523010e+00 -2.526640176773e+00
G1-1 1828 2 6.985609125549e+00 8.671087493295e+00 6.094897171342e+01 8.737613677979e+00 -2.525454521179e+00
G1-1 1828 3 9.457110733573e+00 9.751310137400e+00 5.800223836916e+01 8.642520904541e+00 -2.719257831573e+00
G1-1 1828 4 9.457110733573e+00 1.023046763003e+01 5.985559431836e+01 8.581270217896e+00 -2.868101835251e+00
G1-1 1829 1 1.696008030451e+01 -9.268033842777e+00 7.670000828268e+01 7.197985649109e+00 -2.390129327774e+00
G1-1 1829 2 1.452188046189e+01 -1.053002306690e+01 8.125823351260e+01 4.232161998749e+00 -1.242315292358e+00
G1-1 1829 3 1.696008030451e+01 -7.091989363612e+00 8.040042851032e+01 6.308379650116e+00 -2.376327991486e+00
G1-1 1829 4 1.360597833826e+01 -7.091989363612e+00 8.040042851032e+01 2.447049379349e+00 6.168811321259e-01
G1-1 1830 1 1.177879386942e+01 -8.522539665478e+00 7.542582603876e+01 3.699244022369e+00 -8.226242661476e-01
G1-1 1830 2 7.228941553018e+00 -3.818566758161e+00 7.593797128966e+01 6.401016235352e+00 -1.831239104271e+00
G1-1 1830 3 1.058303674301e+01 -5.256039230732e+00 7.842774456898e+01 8.606162071228e+00 -2.788367748260e+00
G1-1 1830 4 1.058303674301e+01 -3.099830697367e+00 7.469308182086e+01 8.240674972534e+00 -2.571970462799e+00
G1-1 1831 1 3.390145494358e-01 -1.527438265893e+01 8.522283081319e+01 5.300222873688e+00 -1.557314991951e+00
G1-1 1831 2 2.577737222564e+00 -1.223465567417e+01 8.028347500259e+01 7.585034370422e+00 -2.388481140137e+00
G1-1 1831 3 -2.479691696796e+00 -1.233750838971e+01 8.242649517458e+01 7.702657699585e+00 -2.405852556229e+00
